Place,Latitude,Longitude,God,Source
Eurydice,59.3251585,18.0685118,Apollo,Apollodorus
Hercules,38.0171441,-122.2885808,Hades,Apollodorus
Poseidon,57.6971779,11.979591,Poseidon,Apollodorus
Dodona,42.6623452,21.1666427,Athena,Apollodorus
Greece,38.9953683,21.9877132,Athena,Apollodorus
Zetes,57.1609368,21.4650813,Zeus,Apollodorus
Hercules,38.0171441,-122.2885808,Zeus,Apollodorus
Cepheus,59.3248494,18.0719228,Zeus,Apollodorus
Atalanta,-27.421916,-49.778863,Hermes,Apollodorus
Hermes,49.3571636,2.2461658,Poseidon,Apollodorus
Poseidon,57.6971779,11.979591,Poseidon,Apollodorus
Butes,56.8459854,24.2211393,Poseidon,Apollodorus
Poseidon,57.6971779,11.979591,Poseidon,Apollodorus
Asterius,45.1539159,0.5192243,Ares,Apollodorus
Cometes,38.7826447,0.0392547,Ares,Apollodorus
Polyphemus,53.7084832,-2.4611547,Ares,Apollodorus
Lemnos,-36.3458411,145.4749511,Ares,Apollodorus
Mysia,52.2306073,21.0203915,Poseidon,Apollodorus
Colchis,-41.3140207,148.2466273,Poseidon,Apollodorus
Greece,38.9953683,21.9877132,Poseidon,Apollodorus
Aeetes,41.889687,41.7750094,Athena,Apollodorus
Thebes,37.2208838,-89.4609209,Athena,Apollodorus
Aeetes,41.889687,41.7750094,Athena,Apollodorus
Eridanus,-31.4539998,-64.1760025,Zeus,Apollodorus
the Wandering Rocks,38.8917889,-77.0229158,Hera,Apollodorus
Corcyra,39.6217347,19.9180908,Hera,Apollodorus
Isthmus,35.9981447,-84.1584272,Poseidon,Apollodorus
Athens,33.9597677,-83.376398,Hera,Apollodorus
Height,37.2806683,-81.8140035,Hera,Apollodorus
Athens,33.9597677,-83.376398,Hera,Apollodorus
thou,47.5790082,2.9076132,Zeus,Odyssey
Ithaca,42.4374175,-76.5483724,Poseidon,Odyssey
Agamemnon,53.0764094,8.8156426,Zeus,Odyssey
Orestes,40.2694844,-85.7280325,Zeus,Odyssey
Hermes,49.3571636,2.2461658,Hermes,Odyssey
Atreus,53.3010092,-4.6333582,Hermes,Odyssey
Orestes,40.2694844,-85.7280325,Hermes,Odyssey
Hermes,49.3571636,2.2461658,Hermes,Odyssey
Trojan,53.7897431,20.2403526,Zeus,Odyssey
Iliad,31.2955678,77.1369731,Zeus,Odyssey
Troy,42.7284117,-73.6917878,Apollo,Odyssey
Athens,33.9597677,-83.376398,Apollo,Odyssey
Phrontis,37.9639854,23.614443,Apollo,Odyssey
Alpheus,37.3681697,-81.5609399,Hera,Odyssey
Penelope,31.8601595,-96.9266638,Hera,Odyssey
Penelope,31.8601595,-96.9266638,Hera,Odyssey
Penelope,31.8601595,-96.9266638,Hades,Odyssey
Scheria,52.0902485,4.4354384,Hades,Odyssey
Achilles,37.2801422,-76.4402257,Apollo,Odyssey
Hercules,38.0171441,-122.2885808,Apollo,Odyssey
Mars,45.022172,4.3221548,Hephaestus,Odyssey
Mars,45.022172,4.3221548,Hephaestus,Odyssey
Mars,45.022172,4.3221548,Apollo,Odyssey
Mars,45.022172,4.3221548,Apollo,Odyssey
Mars,45.022172,4.3221548,Hephaestus,Odyssey
Mars,45.022172,4.3221548,Hephaestus,Odyssey
Mars,45.022172,4.3221548,Hephaestus,Odyssey
Thereon,35.9307123,128.53893,Hephaestus,Odyssey
Mars,45.022172,4.3221548,Hephaestus,Odyssey
Troy,42.7284117,-73.6917878,Ares,Odyssey
North,13.45911,-2.2496367,Hera,Odyssey
"the
sea",41.8822194,-87.6188156,Hera,Odyssey
Aeolus,51.9155409,4.3455155,Hera,Odyssey
North Wind,39.4089959,-76.5105201,Hades,Odyssey
Hades,50.921334,15.6967682,Hades,Odyssey
Mount Pelion,-20.9375455,148.7880595,Apollo,Odyssey
Ossa,43.2831471,-0.2682274,Apollo,Odyssey
Phaedra,33.5162607,-117.6982344,Apollo,Odyssey
Crete,41.4445334,-87.6313829,Dionysus,Odyssey
Athens,33.9597677,-83.376398,Dionysus,Odyssey
Ithaca,42.4374175,-76.5483724,Hera,Odyssey
Sidonia,-37.1632035,144.5597893,Ares,Odyssey
Alpheus,37.3681697,-81.5609399,Hera,Odyssey
Thebes,37.2208838,-89.4609209,Apollo,Odyssey
Troy,42.7284117,-73.6917878,Hades,Odyssey
Lesbos,39.1758418,25.9989135,Apollo,Odyssey
Troy,42.7284117,-73.6917878,Ares,Odyssey
Penelope,31.8601595,-96.9266638,Apollo,Odyssey
Ulysses,37.5814095,-101.355169,Ares,Odyssey
Penelope,31.8601595,-96.9266638,Ares,Odyssey
Penelope,31.8601595,-96.9266638,Apollo,Odyssey
Ulysses,37.5814095,-101.355169,Hades,Odyssey
Penelope,31.8601595,-96.9266638,Hades,Odyssey
Ithaca,42.4374175,-76.5483724,Hades,Odyssey
Odyssey,38.7453944,-76.6294061,Apollo,Iliad
Odyssey,38.7453944,-76.6294061,Apollo,Iliad
Troy,42.7284117,-73.6917878,Apollo,Iliad
Achilles,37.2801422,-76.4402257,Athena,Iliad
Agamemnon,53.0764094,8.8156426,Apollo,Iliad
Achilles,37.2801422,-76.4402257,Apollo,Iliad
Agamemnon,53.0764094,8.8156426,Apollo,Iliad
Jupiter,26.9342246,-80.0942087,Hephaestus,Iliad
Jupiter,26.9342246,-80.0942087,Hephaestus,Iliad
Chryses,-21.849,-138.848,Apollo,Iliad
Atreus,53.3010092,-4.6333582,Apollo,Iliad
Thine,45.2601772,4.8232837,Ares,Iliad
Achilles,37.2801422,-76.4402257,Ares,Iliad
Achilles,37.2801422,-76.4402257,Hera,Iliad
Achilles,37.2801422,-76.4402257,Hera,Iliad
Achilles,37.2801422,-76.4402257,Ares,Iliad
thou,47.5790082,2.9076132,Ares,Iliad
Jove,43.6851765,-7.5115144,Hades,Iliad
Jove,43.6851765,-7.5115144,Hermes,Iliad
Hermes,49.3571636,2.2461658,Hermes,Iliad
Atreus,53.3010092,-4.6333582,Hermes,Iliad
Augia,45.8505426,-0.0967359,Ares,Iliad
Abantes,40.4060868,-3.5599122,Ares,Iliad
Athens,33.9597677,-83.376398,Athena,Iliad
Titan,13.0718794,77.5560732,Hades,Iliad
Orthè,43.5881674,-1.1782188,Hades,Iliad
Pieria,46.520306,12.7972483,Ares,Iliad
Ascanius,-34.9694329,117.9265762,Hades,Iliad
Tmolus,38.3335174,27.9824263,Hades,Iliad
Paris,48.8534951,2.3483915,Ares,Iliad
Troy,42.7284117,-73.6917878,Hera,Iliad
Paris,48.8534951,2.3483915,Hades,Iliad
Paris,48.8534951,2.3483915,Ares,Iliad
Lycaon,33.9530321,-6.8959835,Athena,Iliad
Troy,42.7284117,-73.6917878,Hera,Iliad
Simois,-34.6002391,-55.4639303,Ares,Iliad
Achilles,37.2801422,-76.4402257,Apollo,Iliad
Æneas,48.5473813,-118.9786447,Apollo,Iliad
Troy,42.7284117,-73.6917878,Apollo,Iliad
Mars,45.022172,4.3221548,Apollo,Iliad
