Place,God,Latitude,Longitude,Frequency,Sources
Eurybius,Poseidon,,,1,Apollodorus
Evagoras,Poseidon,-7.1495206,-34.8354468,1,Apollodorus
Hercules,Poseidon,38.0171441,-122.2885808,1,Apollodorus
Neleus,Apollo,,,1,Apollodorus
Messene,Dionysus,37.1749567,21.9204618,1,Apollodorus
Lysimache,Dionysus,,,1,Apollodorus
Pronax,Hera,,,1,Apollodorus
Argia,Hera,43.4760696,-1.5410926,1,Apollodorus
Deipyle,Hera,,,1,Apollodorus
Aegialia,Hera,,,1,Apollodorus
Cyanippus,Hera,,,1,Apollodorus
Thessaly,Hera,39.5755929,22.1634449,1,Apollodorus
Eurydice,Apollo,59.3251585,18.0685118,1,Apollodorus
Hercules,Hades,38.0171441,-122.2885808,2,"Apollodorus, Iliad"
Autolycus,Hades,,,1,Apollodorus
Poseidon,Poseidon,57.6971779,11.979591,3,Apollodorus
Dodona,Athena,42.6623452,21.1666427,1,Apollodorus
Greece,Athena,38.9953683,21.9877132,4,"Apollodorus, Iliad"
Hagnias,Zeus,,,1,Apollodorus
Zetes,Zeus,57.1609368,21.4650813,1,Apollodorus
Aeacus,Zeus,,,1,Apollodorus
Arcisius,Zeus,,,1,Apollodorus
Autolycus,Hermes,,,1,Apollodorus
Atalanta,Hermes,-27.421916,-49.778863,1,Apollodorus
Hermes,Poseidon,49.3571636,2.2461658,1,Apollodorus
Thaumacus,Poseidon,,,1,Apollodorus
Butes,Poseidon,56.8459854,24.2211393,1,Apollodorus
Erginus,Poseidon,,,1,Apollodorus
Neleus,Poseidon,,,1,Apollodorus
Augeas,Poseidon,,,1,Apollodorus
Asterius,Ares,45.1539159,0.5192243,1,Apollodorus
Cometes,Ares,38.7826447,0.0392547,1,Apollodorus
Polyphemus,Ares,53.7084832,-2.4611547,1,Apollodorus
Lemnos,Ares,-36.3458411,145.4749511,1,Apollodorus
Mysia,Poseidon,52.2306073,21.0203915,1,Apollodorus
Colchis,Poseidon,-41.3140207,148.2466273,1,Apollodorus
Greece,Poseidon,38.9953683,21.9877132,1,Apollodorus
the Echinadian Islands,Apollo,,,1,Apollodorus
the Strophades Islands,Apollo,,,1,Apollodorus
Clashing Rocks,Hera,,,1,Apollodorus
Aeetes,Athena,41.889687,41.7750094,2,Apollodorus
Thebes,Athena,37.2208838,-89.4609209,1,Apollodorus
Idyia,Athena,,,1,Apollodorus
Eridanus,Zeus,-31.4539998,-64.1760025,1,Apollodorus
the Apsyrtides Islands,Zeus,,,1,Apollodorus
the Sardinian Sea,Zeus,,,1,Apollodorus
the Wandering Rocks,Hera,38.8917889,-77.0229158,1,Apollodorus
the Island of Thrinacia,Hera,,,1,Apollodorus
Corcyra,Hera,39.6217347,19.9180908,1,Apollodorus
Isthmus,Poseidon,35.9981447,-84.1584272,1,Apollodorus
Athens,Hera,33.9597677,-83.376398,2,Apollodorus
Height,Hera,37.2806683,-81.8140035,1,Apollodorus
thou,Zeus,47.5790082,2.9076132,1,Odyssey
Ithaca,Poseidon,42.4374175,-76.5483724,1,Odyssey
Agamemnon,Zeus,53.0764094,8.8156426,1,Odyssey
Orestes,Zeus,40.2694844,-85.7280325,1,Odyssey
Atreus,Hermes,53.3010092,-4.6333582,2,"Iliad, Odyssey"
Orestes,Hermes,40.2694844,-85.7280325,1,Odyssey
Aegisthus,Hermes,,,1,Odyssey
Argives,Zeus,,,1,Odyssey
Trojan,Zeus,53.7897431,20.2403526,1,Odyssey
Iliad,Zeus,31.2955678,77.1369731,1,Odyssey
Aegyptius,Hera,,,1,Odyssey
Troy,Apollo,42.7284117,-73.6917878,11,"Iliad, Odyssey"
Athens,Apollo,33.9597677,-83.376398,1,Odyssey
Phrontis,Apollo,37.9639854,23.614443,1,Odyssey
Alpheus,Hera,37.3681697,-81.5609399,2,Odyssey
Penelope,Hera,31.8601595,-96.9266638,2,Odyssey
Pherae,Hera,,,1,Odyssey
Penelope,Hades,31.8601595,-96.9266638,2,Odyssey
Scheria,Hades,52.0902485,4.4354384,1,Odyssey
Achilles,Apollo,37.2801422,-76.4402257,9,"Iliad, Odyssey"
Laodamas,Ares,,,1,Odyssey
Hercules,Apollo,38.0171441,-122.2885808,1,Odyssey
Mars,Hephaestus,45.022172,4.3221548,7,"Iliad, Odyssey"
Mars,Apollo,45.022172,4.3221548,9,"Iliad, Odyssey"
Thereon,Hephaestus,35.9307123,128.53893,1,Odyssey
Troy,Ares,42.7284117,-73.6917878,12,"Iliad, Odyssey"
North,Hera,13.45911,-2.2496367,1,Odyssey
"the
sea",Hera,41.8822194,-87.6188156,1,Odyssey
Aeolus,Hera,51.9155409,4.3455155,1,Odyssey
North Wind,Hades,39.4089959,-76.5105201,1,Odyssey
Mount Pelion,Apollo,-20.9375455,148.7880595,1,Odyssey
